Lead_ID,Lead_Date,Company_Name,Contact_Email,Lead_Source,Segment,Trial_Activated,Trial_Date,Converted,Conversion_Date,MRR
LD-1452,04/04/2026,Zenith Solutions,info@zenithsolutions.com,Cold Outreach,SMB,Yes,06/04/2026,Yes,15/04/2026,283
LD-1131,12/05/2026,Alpha Co,info@alphaco.com,GOOGLE,Mid-Market,Yes,20/05/2026,No,,
LD-1478,2026-05-17 15:03:00, Stellar Global  ,info@stellarglobal.com,GOOGLE,Mid-Market,Yes,2026-05-21 11:03:00,No,,
LD-1177,2026-03-18 14:48:00, Omega Co  ,info@omegaco.com,Cold Outreach,SMB,Yes,2026-03-23 10:24:00,No,,
LD-1504,2026-04-28,Core Group,info@coregroup.com,google,Enterprise,Yes,2026-05-04,Yes,2026-05-21,0
LD-1270,2026-03-19,Shift Inc,info@shiftinc.com,LinkedIn Ads,Enterprise,Yes,2026-03-22,No,,
LD-1540,2026-04-08 15:45:00,Flux Corp,info@fluxcorp.com,Cold Outreach,Mid-Market,No,,No,,
LD-1314,2026-03-04,Summit LLC,info@summitllc.com,LinkedIn,SMB,Yes,2026-03-13,No,,
LD-1150,2026-03-11,Flux Corp,info@fluxcorp.com,,Enterprise,Yes,2026-03-18,No,,
LD-1273,04/03/2026,Stellar Solutions,info@stellarsolutions.com,null,Mid-Market,Yes,05/03/2026,No,,
LD-1126,2026-05-04,Flux Corp,info@fluxcorp.com,Referral,SMB,Yes,2026-05-06,No,,
LD-1040,2026-03-01,Pulse Solutions,info@pulsesolutions.com,Webinar,Mid-Market,Yes,2026-03-03,No,,
LD-1404,21/05/2026,Beacon Global,info@beaconglobal.com,Referral,Mid-Market,Yes,23/05/2026,No,,
LD-1264,2026-05-03,Stellar Co (Duplicate Entry),info@stellarco.com,referral,Mid-Market,No,,No,,
LD-1434,2026-03-24,Synergy Technologies,info@synergytechnologies.com,LinkedIn Ads,SMB,Yes,2026-03-28,No,,
LD-1519,2026-05-22,Sovereign Partners,info@sovereignpartners.com,LinkedIn Ads,Mid-Market,No,,No,,
